Year,Discount Factor,Capital,Replacement,Salvage,O&M,Total
0,1.0,-75000.0,-0.0,0.0,-0.0,-75000.0
1,0.944,-0.0,-0.0,0.0,-283.0,-283.0
2,0.892,-0.0,-0.0,0.0,-268.0,-268.0
3,0.842,-0.0,-0.0,0.0,-253.0,-253.0
4,0.796,-0.0,-0.0,0.0,-239.0,-239.0
5,0.751,-0.0,-0.0,0.0,-225.0,-225.0
6,0.71,-0.0,-0.0,0.0,-213.0,-213.0
7,0.67,-0.0,-0.0,0.0,-201.0,-201.0
8,0.633,-0.0,-0.0,0.0,-190.0,-190.0
9,0.598,-0.0,-0.0,0.0,-179.0,-179.0
10,0.565,-0.0,-0.0,0.0,-169.0,-169.0
11,0.533,-0.0,-0.0,0.0,-160.0,-160.0
12,0.504,-0.0,-0.0,0.0,-151.0,-151.0
13,0.476,-0.0,-0.0,0.0,-143.0,-143.0
14,0.449,-0.0,-0.0,0.0,-135.0,-135.0
15,0.424,-0.0,-0.0,0.0,-127.0,-127.0
16,0.401,-0.0,-0.0,0.0,-120.0,-120.0
17,0.378,-0.0,-0.0,0.0,-113.0,-113.0
18,0.357,-0.0,-0.0,0.0,-107.0,-107.0
19,0.338,-0.0,-0.0,0.0,-101.0,-101.0
20,0.319,-0.0,-23925.0,0.0,-0.0,-23925.0
20,0.319,-0.0,-0.0,0.0,-96.0,-96.0
21,0.301,-0.0,-0.0,0.0,-90.0,-90.0
22,0.284,-0.0,-0.0,0.0,-85.0,-85.0
23,0.269,-0.0,-0.0,0.0,-81.0,-81.0
24,0.254,-0.0,-0.0,0.0,-76.0,-76.0
25,0.24,-0.0,-0.0,13500.0,-72.0,13428.0
